"","nb.calls","intercall.dur","dom.freq","whine.dur","pulse.rate","nb.pulse","id","year","time","date","male.rep","color","temp","plant.rep","site","sp","treat","pl.rep","daysintreat","loc","location","hour","minutes","circ.time","cos","sin","plants","sp.on.pl","aggregation","molt","age"
"EbLentWI_homo-FGC_C_LF_01R_200806_0216pm.txt",3,4.12363400000001,177.567327611714,0.804261000000011,19.857029388403,4,"_200806_0216p",2020," 2:16:00 PM","06/08/20",1,"R",25.4,"C","FGC","LF","homo","C FGC 2020",6,"FGC","symp",14,16,3.73500459926787,-0.829037572555042,-0.559192903470747,"2020 homo LF FGC C","LF","2020 LF FGC C","2020-07-08",29
"EbLentWI_homo-FGC_C_LF_01W_200813_1239pm.txt",5,4.522504,186.970250955628,0.631689999999999,21.7692603530978,3,"_200813_1239p",2020,"12:39:00 PM","13/08/20",1,"W",26,"C","FGC","LF","homo","C FGC 2020",6,"FGC","symp",12,39,3.31176225565924,-0.985556059058078,-0.169349503849025,"2020 homo LF FGC C","LF","2020 LF FGC C","2020-07-08",36
"EbLentWI_homo-FGC_D_LF_01R_200731_1008am.txt",5,3.51700700000001,169.118890580111,1.006643,15.257811236463,5,"_200731_1008a",2020,"10:08:00 AM","31/07/20",1,"R",22.9,"D","FGC","LF","homo","D FGC 2020",6,"FGC","symp",10,8,2.65290046303138,-0.882947592858927,0.469471562785891,"2020 homo LF FGC D","LF","2020 LF FGC D","2020-07-02",29
"EbLentWI_homo-FGC_D_LF_01W_200731_1016am.txt",3,3.69306300000001,168.871376301699,0.864561000000009,16.6550081609532,4,"_200731_1016a",2020,"10:16:00 AM","31/07/20",1,"W",22.9,"D","FGC","LF","homo","D FGC 2020",6,"FGC","symp",10,16,2.68780704807127,-0.898794046299167,0.438371146789077,"2020 homo LF FGC D","LF","2020 LF FGC D","2020-07-02",29
"EbLentWI_homo-FGC_D_LF_02W_200731_1105am.txt",3,2.794613,170.852554245631,0.856654999999989,16.2065360960075,4,"_200731_1105a",2020,"11:05:00 AM","31/07/20",2,"W",23.1,"D","FGC","LF","homo","D FGC 2020",6,"FGC","symp",11,5,2.90160988144057,-0.971342069813261,0.237685892326173,"2020 homo LF FGC D","LF","2020 LF FGC D","2020-07-02",29
"EbLentWI_homo-FGC_D_LF_03W_200731_1118am.txt",5,2.691372,178.168428554486,0.867353000000008,14.7877586933534,6,"_200731_1118a",2020,"11:18:00 AM","31/07/20",3,"W",23.1,"D","FGC","LF","homo","D FGC 2020",6,"FGC","symp",11,18,2.95833308213039,-0.983254907563955,0.182235525492147,"2020 homo LF FGC D","LF","2020 LF FGC D","2020-07-02",29
"EbLentWI_homo-FGC_D_LF_04W_200731_1146am.txt",3,3.370555,186.050357630122,0.855631000000002,14.9568942308268,5,"_200731_1146a",2020,"11:46:00 AM","31/07/20",4,"W",23.1,"D","FGC","LF","homo","D FGC 2020",6,"FGC","symp",11,46,3.08050612976999,-0.998134798421867,0.0610485395348567,"2020 homo LF FGC D","LF","2020 LF FGC D","2020-07-02",29
"EbLentWI_homo-FGC_D_LF_05W_200806_0131pm.txt",3,2.585578,181.210486046785,0.828862000000015,18.1776042826426,4,"_200806_0131p",2020," 1:31:00 PM","06/08/20",5,"W",25.5,"D","FGC","LF","homo","D FGC 2020",6,"FGC","symp",13,31,3.5386550584185,-0.922200971670452,-0.386710961636821,"2020 homo LF FGC D","LF","2020 LF FGC D","2020-07-02",35
"EbLentWI_homo-FGC_E_LF_01W_200717_1228pm.txt",5,3.38146800000001,164.762741652052,0.847591999999992,15.8873270763752,4,"_200717_1228p",2020,"12:28:00 PM","17/07/20",1,"W",24,"E","FGC","LF","homo","E FGC 2020",6,"FGC","symp",12,28,3.2637657012294,-0.992546151641322,-0.121869343405147,"2020 homo LF FGC E","LF","2020 LF FGC E","2020-07-02",15
"EbLentWI_homo-FGC_E_LF_02W_200721_1148am.txt",4,3.196514,166.975881261577,0.416562999999996,17.5231085994659,4,"_200721_1148a",2020,"11:48:00 AM","21/07/20",2,"W",22.9,"E","FGC","LF","homo","E FGC 2020",6,"FGC","symp",11,48,3.08923277602996,-0.998629534754574,0.0523359562429438,"2020 homo LF FGC E","LF","2020 LF FGC E","2020-07-02",19
"EbLentWI_homo-FGC_E_LF_03W_200724_0948am.txt",3,3.957104,188.201836013471,0.705026999999999,21.1901818823946,3,"_200724_0948a",2020," 9:48:00 AM","24/07/20",3,"W",23.1,"E","FGC","LF","homo","E FGC 2020",6,"FGC","symp",9,48,2.56563400043166,-0.838670567945424,0.544639035015027,"2020 homo LF FGC E","LF","2020 LF FGC E","2020-07-02",22
"EbLentWI_homo-FGC_E_LF_04W_200727_1051am.txt",3,3.66544399999999,155.757848464911,0.965063000000001,16.0502050413695,4,"_200727_1051a",2020,"10:51:00 AM","27/07/20",4,"W",22.6,"E","FGC","LF","homo","E FGC 2020",6,"FGC","symp",10,51,2.84052335762077,-0.955019944457187,0.296541574975571,"2020 homo LF FGC E","LF","2020 LF FGC E","2020-07-02",25
